ID,Texapon SB 3 KC,Plantapon ACG 50,Plantapon LC 7,Plantacare 818,Plantacare 2000,Dehyton MC,Dehyton PK 45,Dehyton ML,Dehyton AB 30,Plantapon Amino SCG-L,Plantapon Amino KG-L,Dehyquart A-CA,Luviquat Excellence,Dehyquart CC6,Dehyquart CC7 Benz,Salcare Super 7,Arlypon F,Arlypon TT
7.0,0.0,0.0,5.687662388203928,0.0,0.0,0.0,6.809828269986054,0.0,0.0,0.0,0.0,0.0,3.8994181220228645,0.0,0.0,0.0,0.0,2.8913463260333137
8.0,0.0,0.0,7.198750439344997,0.0,0.0,0.0,4.36263781118182,0.0,0.0,0.0,0.0,0.0,4.2868659800635,0.0,0.0,0.0,0.0,5.114954003073587
9.0,0.0,0.0,3.9463363761215904,0.0,0.0,0.0,7.448576292285478,0.0,0.0,0.0,0.0,0.0,2.954858752796544,0.0,0.0,0.0,0.0,2.8326940498384983
10.0,0.0,0.0,6.007393180195667,0.0,0.0,0.0,4.429972450041072,0.0,0.0,0.0,0.0,0.0,3.010940853304694,0.0,0.0,0.0,0.0,2.3040976957315733
11.0,0.0,0.0,5.268123778711624,0.0,0.0,0.0,7.994258480549125,0.0,0.0,0.0,0.0,0.0,4.998238391860775,0.0,0.0,0.0,0.0,4.072638689664286
12.0,0.0,0.0,3.4724739380985343,0.0,0.0,0.0,7.380478505721324,0.0,0.0,0.0,0.0,0.0,5.523307516955346,0.0,0.0,0.0,0.0,5.017430563100063
