Time,Mass
1074,50.207
1076,50.206
1078,50.206
1080,50.205
1082,50.205
1084,50.205
1086,50.205
1088,50.205
1090,50.205
1092,50.205
1094,50.204
1096,50.202
1098,50.203
1100,50.203
1102,50.203
1104,50.203
1106,50.203
1108,50.203
1110,50.203
1112,50.203
1114,50.203
1116,50.203
1118,50.203
1120,50.202
1122,50.201
1124,51.106
1126,51.106
1128,51.106
1130,51.105
1132,51.129
1134,51.129
1136,51.148
1138,51.149
1140,51.148
1142,51.147
1144,51.147
1146,51.164
1148,51.165
1150,51.165
1152,51.165
1154,51.165
1156,51.163
1158,51.166
1160,51.166
1162,51.165
1164,51.165
1166,51.165
1168,51.164
1170,51.163
1172,51.161
1174,51.163
1176,51.165
1178,51.165
1180,51.165
1182,51.164
1184,51.164
1186,51.163
1188,51.163
1190,51.162
1192,51.162
1194,51.162
1196,51.162
1198,51.162
1200,51.16
1202,51.161
1204,51.161
1206,51.161
1208,51.158
1210,51.155
1212,51.161
1214,51.166
1216,51.164
1218,51.164
1220,51.164
1222,51.164
1224,51.162
1226,51.159
1228,51.159
1230,51.16
1232,52.071
1234,52.071
1236,52.072
1238,52.072
1240,52.072
1242,52.085
1244,52.085
1246,52.085
1248,52.085
1250,52.085
1252,52.085
1254,52.085
1256,52.085
1258,52.085
1260,52.085
1262,52.084
1264,52.083
1266,52.082
1268,52.084
1270,52.084
1272,52.084
1274,52.086
1276,52.082
1278,52.081
1280,52.082
1282,52.082
1284,52.085
1286,52.088
1288,52.085
1290,52.084
1292,52.084
1294,52.082
1296,52.081
1298,52.081
1300,52.081
1302,52.082
1304,52.082
1306,52.082
1308,52.081
1310,52.08
1312,52.08
1314,52.08
1316,52.081
1318,52.081
1320,52.08
1322,52.078
1324,52.078
1326,52.079
1328,52.42
1330,52.42
1332,52.42
1334,52.42
1336,52.415
1338,52.419
1340,52.448
1342,52.448
1344,52.478
1346,52.478
1348,52.505
1350,52.505
1352,52.505
1354,52.505
1356,52.52
1358,52.518
1360,52.521
1362,52.521
1364,52.521
1366,52.52
1368,52.52
1370,52.52
1372,52.52
1374,52.52
1376,52.52
1378,52.519
1380,52.519
1382,52.519
1384,52.519
1386,52.519
1388,52.519
1390,52.519
1392,52.519
1394,52.52
1396,52.52
1398,52.519
1400,52.517
1402,52.518
1404,52.518
1406,52.984
1408,52.984
1410,52.984
1412,52.984
1414,52.983
1416,52.983
1418,53.015
1420,53.015
1422,53.042
1424,53.042
1426,53.068
1428,53.068
1430,53.068
1432,53.068
1434,53.068
1436,53.064
1438,53.067
1440,53.067
1442,53.067
1444,53.066
1446,53.066
1448,53.065
1450,53.064
1452,53.063
1454,53.065
1456,53.068
1458,53.068
1460,53.066
1462,53.065
1464,53.065
1466,53.065
1468,53.064
1470,53.063
1472,53.063
1474,53.063
1476,53.063
1478,53.063
1480,53.063
1482,53.063
1484,53.063
1486,53.062
1488,53.062
1490,53.062
1492,53.062
1494,53.062
1496,53.062
1498,53.062
1500,53.062
1502,53.062
1504,53.062
1506,53.061
1508,53.061
1510,53.062
1512,53.93
1514,53.93
1516,53.93
1518,53.93
1520,53.93
1522,53.93
1524,53.93
1526,53.93
1528,53.929
1530,53.929
1532,53.929
1534,53.929
1536,53.929
1538,53.929
1540,53.929
1542,53.927
1544,53.925
1546,53.928
1548,53.928
1550,53.928
1552,53.928
1554,53.927
1556,53.926
1558,53.926
1560,53.923
1562,53.926
1564,53.925
1566,53.927
1568,53.927
1570,53.927
1572,53.926
1574,53.925
1576,53.925
1578,53.925
1580,53.924
1582,53.924
1584,53.924
1586,53.924
1588,53.924
1590,53.923
1592,53.923
1594,53.923
1596,53.923
1598,53.923
1600,53.923
1602,53.923
1604,53.923
1606,53.923
1608,53.923
1610,53.922
1612,53.923
1614,53.923
1616,53.923
1618,53.922
1620,53.921
1622,53.922
1624,54.901
1626,54.901
1628,54.901
1630,54.901
1632,54.901
1634,54.901
