ID,Sample,Texapon SB 3 KC,Plantapon ACG 50,Plantapon LC 7,Plantacare 818,Plantacare 2000,Dehyton MC,Dehyton PK 45,Dehyton ML,Dehyton AB 30,Plantapon Amino SCG-L,Plantapon Amino KG-L,Dehyquart A-CA,Luviquat Excellence,Dehyquart CC6,Dehyquart CC7 Benz,Salcare Super 7,Arlypon F,Arlypon TT,Water,Sample Density
55,S55,0,0,0,0,0,0,9,0,10.2,0,0,0,1.8,0,0,0,0,4.4,74.6,1.007
56,S56,0,0,0,0,0,0,11.6,0,8.5,0,0,0,2.4,0,0,0,0,1.6,75.9,1.01
57,S57,0,0,0,0,0,0,10.9,0,10.7,0,0,0,2.5,0,0,0,0,2.3,73.6,1.01
58,S58,0,0,0,0,0,0,12.7,0,11.5,0,0,0,2.7,0,0,0,0,1.3,71.8,1.012
59,S59,0,0,0,0,0,0,10.1,0,9.6,0,0,0,2.9,0,0,0,0,2,75.4,1.01
60,S60,0,0,0,0,0,0,12.3,0,8.6,0,0,0,1.5,0,0,0,0,2.8,74.8,1.009
61,S61,0,0,0,0,0,0,0,0,0,8.9,8.4,0,1.1,0,0,0,0,2.7,78.9,1.005
62,S62,0,0,0,0,0,0,0,0,0,11.3,10.2,0,1.2,0,0,0,0,2.2,75.1,1.007
63,S63,0,0,0,0,0,0,0,0,0,10.9,8.3,0,1.6,0,0,0,0,1.8,77.4,1.007
64,S64,0,0,0,0,0,0,0,0,0,11.9,10.5,0,1.1,0,0,0,0,4,72.5,1.007
65,S65,0,0,0,0,0,0,0,0,0,10.1,8.1,0,2.6,0,0,0,0,2.5,76.7,1.008
66,S66,0,0,0,0,0,0,0,0,0,10.8,11.8,0,2.2,0,0,0,0,3.7,71.5,1.008
67,S67,0,12.1,0,0,0,12.3,0,0,0,0,0,0,2,0,0,0,0,2.3,71.3,1.027
68,S68,0,12.9,0,0,0,9.7,0,0,0,0,0,0,2.2,0,0,0,0,4.3,70.9,1.025
69,S69,0,8.9,0,0,0,12.5,0,0,0,0,0,0,1.4,0,0,0,0,1.4,75.8,1.022
70,S70,0,11.3,0,0,0,9.9,0,0,0,0,0,0,1.5,0,0,0,0,1.1,76.2,1.023
71,S71,0,10.1,0,0,0,12.9,0,0,0,0,0,0,2.5,0,0,0,0,3,71.5,1.025
72,S72,0,8.7,0,0,0,12.4,0,0,0,0,0,0,2.8,0,0,0,0,4.1,72,1.023
73,S73,0,0,9.7,0,12.7,0,0,0,0,0,0,0,2.1,0,0,0,0,1.9,73.6,1.019
74,S74,0,0,10.6,0,10.4,0,0,0,0,0,0,0,2.6,0,0,0,0,4.2,72.2,1.017
75,S75,0,0,11.4,0,11.4,0,0,0,0,0,0,0,1.2,0,0,0,0,4.7,71.3,1.017
76,S76,0,0,9.2,0,9.1,0,0,0,0,0,0,0,2.3,0,0,0,0,1.5,77.9,1.015
77,S77,0,0,12,0,9.2,0,0,0,0,0,0,0,3,0,0,0,0,3.5,72.3,1.017
78,S78,0,0,9.5,0,8.8,0,0,0,0,0,0,0,2.7,0,0,0,0,5,74,1.014
79,S79,10.4,10.9,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,1.7,75.7,1.026
80,S80,12.6,0,10.8,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,3.1,71.9,1.021
81,S81,12.5,0,0,11.1,0,0,0,0,0,0,0,0,2.4,0,0,0,0,4.7,69.3,1.025
82,S82,9,0,0,0,11.3,0,0,0,0,0,0,0,1.5,0,0,0,0,1.2,77,1.021
83,S83,8.2,0,0,0,0,9.2,0,0,0,0,0,0,1,0,0,0,0,2.1,79.5,1.017
