ID,Texapon SB 3 KC,Plantapon ACG 50,Plantapon LC 7,Plantacare 818,Plantacare 2000,Dehyton MC,Dehyton PK 45,Dehyton ML,Dehyton AB 30,Plantapon Amino SCG-L,Plantapon Amino KG-L,Dehyquart A-CA,Luviquat Excellence,Dehyquart CC6,Dehyquart CC7 Benz,Salcare Super 7,Arlypon F,Arlypon TT,Stability_Test,Turbidity/NTU,Viscosity_10/cP,Newtonian
190,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.03,0.00,0.00,9.54,1.09,0.00,0.00,0.00,0.00,1.20,TRUE,14,3,TRUE
191,0.00,0.00,12.46,0.00,0.00,0.00,0.00,0.00,12.59,0.00,0.00,0.00,2.29,0.00,0.00,0.00,0.00,1.09,TRUE,21,6,TRUE
192,0.00,13.24,0.00,0.00,0.00,0.00,0.00,10.59,0.00,0.00,0.00,0.00,2.89,0.00,0.00,0.00,0.00,3.05,TRUE,90,9,FALSE
193,0.00,0.00,0.00,0.00,6.76,0.00,0.00,0.00,0.00,0.00,0.00,12.90,0.86,0.00,0.00,0.00,0.00,2.79,FALSE,NA,NA,NA
194,0.00,0.00,0.00,8.94,0.00,0.00,0.00,0.00,11.58,0.00,0.00,0.00,2.60,0.00,0.00,0.00,0.00,2.80,FALSE,NA,NA,NA
195,0.00,0.00,0.00,0.00,13.21,0.00,0.00,0.00,0.00,0.00,0.00,10.31,1.56,0.00,0.00,0.00,0.00,1.57,TRUE,23,14,TRUE
196,0.00,0.00,0.00,12.94,0.00,0.00,0.00,0.00,10.52,0.00,0.00,0.00,1.72,0.00,0.00,0.00,0.00,1.66,TRUE,25,279,FALSE
197,0.00,0.00,0.00,12.88,7.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.17,0.00,0.00,0.00,0.00,3.03,TRUE,21,169,FALSE
198,0.00,0.00,0.00,0.00,13.50,0.00,0.00,0.00,11.34,0.00,0.00,0.00,2.86,0.00,0.00,0.00,0.00,2.95,TRUE,396,15,FALSE
199,0.00,0.00,0.00,0.00,0.00,9.09,13.12,0.00,0.00,0.00,0.00,0.00,1.56,0.00,0.00,0.00,0.00,2.67,FALSE,NA,NA,NA
200,0.00,0.00,0.00,7.00,10.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.00,0.00,3.48,TRUE,42,293,FALSE
201,0.00,0.00,10.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.80,1.26,0.00,0.00,0.00,0.00,1.43,TRUE,914,211,FALSE
202,0.00,0.00,0.00,0.00,9.24,0.00,0.00,0.00,0.00,0.00,0.00,11.69,2.90,0.00,0.00,0.00,0.00,3.13,FALSE,NA,NA,NA
203,0.00,0.00,0.00,0.00,0.00,0.00,13.04,0.00,0.00,0.00,0.00,9.25,1.63,0.00,0.00,0.00,0.00,1.70,TRUE,44,637,FALSE
204,0.00,0.00,0.00,0.00,0.00,0.00,10.67,0.00,0.00,0.00,0.00,8.95,1.20,0.00,0.00,0.00,0.00,2.64,FALSE,NA,NA,NA
205,0.00,0.00,0.00,11.70,8.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.22,0.00,0.00,0.00,0.00,3.95,TRUE,51,283,FALSE
